iter	Logloss
0	0.6865930074
1	0.6819531491
2	0.6774262974
3	0.6723265222
4	0.6673161053
5	0.6628750332
6	0.6590713494
7	0.6545803256
8	0.6496003317
9	0.6475895422
10	0.6428973745
11	0.6374309201
12	0.6348182599
13	0.6305144897
14	0.6257459164
15	0.6223319435
16	0.6171587635
17	0.6145087127
18	0.6117641549
19	0.6086956722
20	0.6059487595
21	0.6026761442
22	0.5991191407
23	0.5957327617
24	0.5923166449
25	0.5884320483
26	0.5843996486
27	0.5817470255
28	0.577812911
29	0.5753748728
30	0.5725772951
31	0.5715486088
32	0.5687661253
33	0.5662255749
34	0.5639895273
35	0.5619977828
36	0.5608736137
37	0.5592305581
38	0.5573659394
39	0.5553569392
40	0.5531831729
41	0.5513557392
42	0.5490744169
43	0.5478903462
44	0.5461937322
45	0.5442909476
46	0.5424198274
47	0.5409560203
48	0.5390177311
49	0.5379646411
50	0.5356414226
51	0.5333362281
52	0.5328548617
53	0.5305035513
54	0.5288301208
55	0.5269670434
56	0.525143734
57	0.5235780386
58	0.5216999227
59	0.5200166582
60	0.5196130959
61	0.5183248596
62	0.5168148346
63	0.5162510848
64	0.5149933481
65	0.5135627643
66	0.5106712428
67	0.5092700789
68	0.5089159759
69	0.5076780073
70	0.5071532199
71	0.5061785692
72	0.5051516122
73	0.5037683782
74	0.5018163497
75	0.5006764476
76	0.4993483318
77	0.4988420957
78	0.4972546198
79	0.495935179
80	0.4942522469
81	0.4929048858
82	0.4917818057
83	0.490812235
84	0.4899309671
85	0.4881098292
86	0.4870104273
87	0.4854364745
88	0.4843258775
89	0.4834621038
90	0.4824667731
91	0.4821900956
92	0.4811581222
93	0.4797728982
94	0.4786430927
95	0.4771853176
96	0.4760285495
97	0.4753596366
98	0.4738742637
99	0.4731651562
100	0.4718502228
101	0.4710416853
102	0.4703290999
103	0.4696688441
104	0.4684246139
105	0.4670839246
106	0.4662228827
107	0.4656601429
108	0.4647751326
109	0.4637622627
110	0.4631017544
111	0.4623752494
112	0.4612469142
113	0.4603093365
114	0.459706797
115	0.4589433815
116	0.4584087598
117	0.4576648002
118	0.4569574708
119	0.4564520518
120	0.4553459959
121	0.4544846907
122	0.4537962479
123	0.4528955466
124	0.451952998
125	0.4510051076
126	0.4505786112
127	0.4501549368
128	0.4492977613
129	0.4481479048
130	0.4474602762
131	0.4466505361
132	0.446164778
133	0.4451772688
134	0.4443288436
135	0.4430893335
136	0.4421905555
137	0.4416992027
138	0.4410054586
139	0.4398386792
140	0.4386585919
141	0.4374531903
142	0.4373653611
143	0.4369032232
144	0.4356700808
145	0.4351662847
146	0.4343007302
147	0.4340043261
148	0.433524433
149	0.4330993392
150	0.4326409609
151	0.431937384
152	0.4311168595
153	0.4308108762
154	0.4305104806
155	0.4296521083
156	0.4290401312
157	0.428490576
158	0.4277343154
159	0.4266692986
160	0.426201125
161	0.4255622043
162	0.4245857216
163	0.4240062052
164	0.4237453792
165	0.4223255199
166	0.4223252052
167	0.4220008155
168	0.4215654752
169	0.4208758299
170	0.4202179101
171	0.4192977849
172	0.418782699
173	0.4178498949
174	0.4171267921
175	0.4167285715
176	0.4165642494
177	0.4161602164
178	0.4155705685
179	0.4149124888
180	0.4145000118
181	0.4138418436
182	0.4133181349
183	0.4127431364
184	0.4117973967
185	0.4114861267
186	0.4108216049
187	0.4107088964
188	0.4094641672
189	0.4090545096
190	0.4079419443
191	0.4075358674
192	0.4072207147
193	0.4069756033
194	0.406018792
195	0.4054064709
196	0.4050939347
197	0.404545526
198	0.404193406
199	0.4032396366
200	0.4028843281
201	0.4024101513
202	0.4023809549
203	0.4021715792
204	0.4020131111
205	0.4016942236
206	0.4011304893
207	0.4003696091
208	0.4001378245
209	0.3994716105
210	0.3985758012
211	0.3978988848
212	0.3974151144
213	0.3963316514
214	0.3955645855
215	0.3952629497
216	0.3946275978
217	0.393679915
218	0.3930762672
219	0.3922923604
220	0.3922893931
221	0.3920941613
222	0.3918379743
223	0.3911730408
224	0.389949628
225	0.3894093877
226	0.3890782647
227	0.3886621413
228	0.3885252307
229	0.3877227348
230	0.3871886759
231	0.3869096233
232	0.3865993788
233	0.3859006168
234	0.3854198683
235	0.3849614077
236	0.3840297292
237	0.3836141324
238	0.3832934889
239	0.3828115772
240	0.3824842315
241	0.3818929817
242	0.3814052574
243	0.3808837246
244	0.3806454933
245	0.3803418487
246	0.3801238853
247	0.3799439358
248	0.3794627282
249	0.3791857519
250	0.3785884716
251	0.3778623363
252	0.3776714089
253	0.3774507582
254	0.3767562728
255	0.376280408
256	0.3762199023
257	0.3757265953
258	0.3751465239
259	0.3747212311
260	0.3743732342
261	0.3738263249
262	0.3736212697
263	0.3733817467
