iter	Logloss
0	0.6346631622
1	0.587845192
2	0.5472942352
3	0.507286644
4	0.4756077576
5	0.4483153534
6	0.4221102142
7	0.4006431198
8	0.3804548264
9	0.3670126343
10	0.3532257843
11	0.3397190857
12	0.3274436569
13	0.3185947037
14	0.3098825264
15	0.3023156357
16	0.2953694916
17	0.2894065857
18	0.2820615196
19	0.2762979126
20	0.271688652
21	0.2649812508
22	0.2611868095
23	0.2577872467
24	0.2555669975
25	0.2528167534
26	0.2496161461
27	0.2469361496
28	0.24460186
29	0.2415672493
30	0.2383317184
31	0.2366019821
32	0.2348323441
33	0.233261528
34	0.2319852638
35	0.2307119942
36	0.2296817398
37	0.2283016586
38	0.2265436363
39	0.2243965721
40	0.2227864838
41	0.2218348694
42	0.2206471443
43	0.2199965286
44	0.2187641144
45	0.218325634
46	0.2177459145
47	0.2166122818
48	0.2150639725
49	0.2138815117
50	0.2134951019
51	0.2128723145
52	0.2119802856
53	0.2115033722
54	0.2110971451
55	0.2105545235
56	0.2102871895
57	0.20953825
58	0.2089255524
59	0.208620739
60	0.2082983589
61	0.2079055023
62	0.2074436951
63	0.2066226959
64	0.2059664917
65	0.2056973839
66	0.2053972816
67	0.2046685028
68	0.204192791
69	0.2039528656
70	0.2035770798
71	0.2031579399
72	0.2025737
73	0.2019041061
74	0.201800766
75	0.2016465569
76	0.2014240456
77	0.2012421799
78	0.2009829903
79	0.200737648
80	0.200650959
81	0.2000105667
82	0.19966362
83	0.1988278008
84	0.1987448311
85	0.1980031204
86	0.1978424835
87	0.1976246834
88	0.1973755836
89	0.1972779846
90	0.197188797
91	0.1969351578
92	0.1965566063
93	0.196454258
94	0.1963657188
95	0.1959972382
96	0.1958694077
97	0.1957994461
98	0.1956987762
99	0.1954491234
100	0.1954020119
101	0.1950234985
102	0.1948143005
103	0.1947012901
104	0.1946500397
105	0.1944927406
106	0.1942806053
107	0.1942455292
108	0.1936286163
109	0.193422699
110	0.1932581329
111	0.1929183388
112	0.1928918266
113	0.1927852631
114	0.1925436211
115	0.1925435829
116	0.1923849106
117	0.1922046471
118	0.1921743774
119	0.1921622849
120	0.1919254112
121	0.1916791153
122	0.191289196
123	0.1912775993
124	0.1911992264
125	0.1910837364
126	0.1910705566
127	0.1910353279
128	0.1904023552
129	0.1900300789
130	0.1897139359
131	0.1896983147
132	0.1894890404
133	0.1893621826
134	0.1892390633
135	0.1890302658
136	0.189025135
137	0.1890001678
138	0.1889659119
139	0.1888096619
140	0.1887788963
141	0.1887280655
142	0.188665123
143	0.1886583519
144	0.1885633659
145	0.1884621811
146	0.1880819321
147	0.188067627
148	0.1879979324
149	0.1879741287
150	0.1879724884
151	0.1879611206
152	0.1876403427
153	0.1875472069
154	0.1873800468
155	0.186957798
156	0.1866962624
157	0.1866962051
158	0.1866902542
159	0.1866419411
160	0.1864704323
161	0.1864666748
162	0.1864077759
163	0.1862801361
164	0.1860150909
165	0.1860116577
166	0.1857470894
167	0.1857469749
168	0.1855208015
169	0.1854816818
170	0.1853928375
171	0.1853927612
172	0.1853871536
173	0.1852457237
174	0.1850796318
175	0.1850767326
176	0.1850080299
177	0.1848340034
178	0.1848322296
179	0.1845355797
180	0.1844794273
181	0.1841624641
182	0.1840567589
183	0.1837848473
184	0.1837499237
185	0.1835357475
186	0.1835052872
187	0.1831000137
188	0.1830790138
189	0.1826034927
190	0.1824257469
191	0.1821318817
192	0.1821149826
193	0.1820104218
194	0.1819937897
195	0.1818544388
196	0.1818292236
197	0.1818230438
198	0.1818055344
199	0.1818000603
200	0.181630249
201	0.1816291046
202	0.1816214752
203	0.1816075325
204	0.181600666
205	0.1814538574
206	0.1814014816
207	0.1809088898
208	0.1809010315
209	0.1808582687
210	0.1804273033
211	0.1804146576
212	0.1804018021
213	0.1803878593
214	0.1803728104
215	0.1803367805
216	0.1800255585
217	0.1800028801
218	0.1798400307
219	0.179834938
220	0.179822216
221	0.1797932816
222	0.1797769547
223	0.1797760582
224	0.1797750092
225	0.1797742271
226	0.1794965553
227	0.1794307137
228	0.1794303513
229	0.1793442345
230	0.179311161
231	0.1790951729
232	0.1790376663
233	0.1787957954
234	0.1787810898
235	0.1787688255
236	0.1787580109
237	0.1786238289
238	0.1785923386
239	0.1784395409
240	0.178434906
241	0.178433075
242	0.1784238052
243	0.1784155846
244	0.1784082794
245	0.1779889297
246	0.1779825592
247	0.1779768372
248	0.1779717445
249	0.1778877831
250	0.1776912308
251	0.1776867104
252	0.1776835823
253	0.1776358414
254	0.1776318359
255	0.177628231
256	0.1776250076
257	0.1776221466
258	0.1776013374
259	0.1774282074
260	0.1772726059
261	0.177270031
262	0.1772677231
263	0.1769785309
264	0.1769463921
265	0.1768470001
266	0.1768448067
267	0.176711998
268	0.1767100525
269	0.1766990471
270	0.1766699791
271	0.1766297913
272	0.1763468552
273	0.1759129524
274	0.1758994675
275	0.1758622742
276	0.1757773018
277	0.175624733
278	0.1752878571
279	0.1752549744
280	0.175162468
281	0.1750687408
282	0.1747972298
283	0.1747748756
284	0.174770298
285	0.1747654152
286	0.1747608757
287	0.1747578621
288	0.1744796181
289	0.1742627144
290	0.1742422867
291	0.174239006
292	0.1742106628
293	0.1740422821
294	0.1739813995
295	0.1739733887
296	0.1739706039
297	0.1738678741
298	0.1737623405
299	0.1737607956
300	0.1737343788
301	0.1735783195
302	0.1731009674
303	0.1729602242
304	0.1729564667
305	0.1729530144
306	0.1728822899
307	0.172791748
308	0.1727914047
309	0.1726752281
310	0.1724856186
311	0.1724854279
312	0.1723340988
313	0.1723156357
314	0.172314167
315	0.172312603
316	0.17229496
317	0.1722947121
318	0.1722727966
319	0.1721293449
320	0.1720965576
321	0.172095871
322	0.1720932007
323	0.1720919609
324	0.1720741081
325	0.17207407
326	0.1720738792
327	0.1719626617
328	0.1719624901
329	0.1719624519
330	0.1719594193
331	0.1716973305
332	0.1716755867
333	0.1714814758
334	0.1714180756
335	0.1713988686
336	0.1713987732
337	0.171394577
338	0.1713622665
339	0.1713621902
340	0.1713441849
341	0.1713234329
342	0.1710996819
343	0.1710837173
344	0.1709738731
345	0.170973835
346	0.1709736633
347	0.1709736443
348	0.1709734917
349	0.1709734726
350	0.1709734726
351	0.17083992
352	0.170839901
353	0.1708398819
354	0.1708398437
355	0.1708227921
356	0.1707674408
357	0.1707523346
358	0.1707522964
359	0.1707522964
360	0.1707520103
361	0.1702615738
362	0.1700634575
363	0.1700626564
364	0.1700590706
365	0.1698740768
366	0.169871769
367	0.1698707962
368	0.1698574829
369	0.1698568916
370	0.1698548126
371	0.1698543167
372	0.1698539543
373	0.1698537064
374	0.1696278
375	0.1694627762
376	0.1694094276
377	0.1694087791
378	0.1694085312
379	0.1693450546
380	0.1693430138
381	0.1693428802
382	0.1692736816
383	0.1692735672
384	0.1692734718
385	0.1692730713
386	0.1692238998
387	0.1692238617
388	0.1691069603
389	0.1691066551
390	0.169106617
391	0.1691065979
392	0.1691065979
393	0.1691065598
394	0.1690946007
395	0.1690519714
396	0.1690519714
397	0.1690357208
398	0.1690354729
399	0.169035244
400	0.1690352249
401	0.1690352249
402	0.1690352058
403	0.1690351868
404	0.1690351868
405	0.1690348816
406	0.1690348625
407	0.1690346336
408	0.1690346146
409	0.1690346146
410	0.1689479637
411	0.1689479446
412	0.1689479256
413	0.1689466858
414	0.1689464378
415	0.1689464378
416	0.1689464188
417	0.168946209
418	0.1689461899
419	0.1689459801
420	0.1689447594
421	0.1689447403
422	0.1689447403
423	0.1689445114
424	0.1689443016
425	0.1689442825
426	0.168943119
427	0.16894207
428	0.1689411354
429	0.1689411354
430	0.1689411163
431	0.1689402962
432	0.1689402771
433	0.168940258
434	0.168940258
435	0.1687672043
436	0.1686124039
437	0.168295517
438	0.1681415939
439	0.1681414032
440	0.1681413078
441	0.1681412888
442	0.1679043388
443	0.1678940201
444	0.1678939438
445	0.1678938293
446	0.1676363945
447	0.1676168442
448	0.1676166916
449	0.1676166153
450	0.1676165009
451	0.1676163483
452	0.1675916481
453	0.1674193001
454	0.1674189949
455	0.1674159813
456	0.1674067497
457	0.1674067307
458	0.1674065781
459	0.1674064064
460	0.167398243
461	0.167398243
462	0.1673982239
463	0.1673899841
464	0.1673480034
465	0.1673406792
466	0.1672630882
467	0.1672565269
468	0.1672493744
469	0.1672492027
470	0.1672114563
471	0.1668985558
472	0.1667924881
473	0.1667921638
474	0.1667919159
475	0.1667917061
476	0.1667905045
477	0.1666814041
478	0.1666498375
479	0.1666496468
480	0.1665039063
481	0.1664878845
482	0.1663708687
483	0.1663705826
484	0.1663705635
485	0.1662423897
486	0.1661781883
487	0.1661778641
488	0.1661039543
489	0.1660741234
490	0.1660738182
491	0.1660735893
492	0.1659728622
493	0.1658845901
494	0.1658843803
495	0.1658842087
496	0.1658719826
497	0.1658718109
498	0.1655978966
499	0.1655977631
	0.2796317105
499	0.2792630049
